name;open;high;low;close;volume;marketCap;timestamp
2790;105.5759454864;112.6894915891;101.2260583169;105.5749658211;0;1203872510.767205;01/04/2013
2790;105.5910057733;106.2106137648;60.4971307641;99.268949596;0;1099871011.8505013;01/05/2013
2790;99.1265890276;99.8691795147;66.9693530079;74.2784642216;0;844138338.8611004;01/06/2013
2790;74.9615637579;83.9825024665;51.0764681398;79.7669145398;0;936944828.9514145;01/07/2013
2790;79.8654014862;106.5814353504;76.6285573404;102.3905031421;0;1184052974.847733;01/08/2013
2790;102.2316358194;110.8672619949;89.9058888012;98.3582310309;0;1184687514.184129;01/09/2013
2790;98.1360892572;157.7221604417;75.2834634075;150.2209131075;0;1800043491.1242604;01/10/2013
2790;150.1693871678;850.791091801;149.5365175354;831.1355167495;0;10031219119.75254;01/11/2013
2790;830.7602060088;850.9015935212;305.8032214134;548.6103097829;15378099.933769962;6763798181.801457;01/12/2013
2790;549.3087679738;747.6624486307;549.3087679738;615.4393644124;12447540.745052386;7449368320.721769;01/01/2014
2790;614.4679164639;632.9403185252;305.952990075;397.956824928;20820244.7163515;5074789709.67742;01/02/2014
2790;398.4349970368;511.6165464332;322.3769288405;331.7852527081;20470946.23967541;4167725284.0530357;01/03/2014
2790;331.8327040372;391.8066825996;252.8410013488;322.8131456073;11069488.817891374;4132159573.685739;01/04/2014
2790;322.8044967228;458.338244208;304.9798292838;457.5766705452;10894281.387466647;5774319373.822744;01/05/2014
2790;457.5884029083;495.5605549873;406.0116555064;467.34623599;34058987.52751284;6086649849.361702;01/06/2014
2790;468.4421495844;480.5039596753;421.3711923028;437.8809272121;16409509.202453988;5602425509.333918;01/07/2014
2790;437.8563089089;448.0941173449;331.5289910245;363.9544454089;33337541.08156558;4715268867.455931;01/08/2014
2790;364.0004474361;380.8528098028;293.3564427728;306.4174851474;26441642.541520648;3930078717.659607;01/09/2014
2790;306.799969871;323.8911163928;231.1594007113;270.1381462826;9934589.80044346;3603019522.0541654;01/10/2014
2790;270.4008255322;367.2609569826;256.0092678698;304.0184938241;7341456.403704886;4092908156.619291;01/11/2014
2790;304.180935199;308.8115104413;246.9615996663;264.7098157772;11212625.653397668;3520314109.111379;01/12/2014
2790;264.9098855478;264.9098855478;145.4954144103;192.6847461604;19302414.021164022;2478250918.154762;01/01/2015
2790;192.1557721022;233.3400618744;187.856636;227.1422194821;12359826.333510544;3129343111.5984406;01/02/2015
2790;227.1600900132;278.9290753441;216.4698877811;227.5025608043;20253707.343219582;3055309001.25067;01/03/2015
2790;227.3957236519;238.475135863;197.5307895936;210.5993081891;31488454.376163874;3102508849.5158286;01/04/2015
2790;210.4718959512;221.3128524198;201.2086250413;210.1424159589;13140767.172167707;2920389317.7966104;01/05/2015
2790;210.1433020345;240.3041216422;202.5963611178;236.3205093126;40647864.18400876;3441246368.7477183;01/06/2015
2790;236.5445084171;281.6898238968;228.4858088173;259.1024885277;21224377.975388486;3693604132.9830236;01/07/2015
2790;259.1352672844;262.3163756316;172.4269926929;205.0227250297;18851902.421263427;3049194807.937375;01/08/2015
2790;205.1461125304;230.0363955232;201.3388823849;211.3907025688;17590431.21881682;3085910334.1054883;01/09/2015
2790;211.3027108987;304.0111047559;211.3027108987;285.4497411479;43511594.59217477;4159267836.28794;01/10/2015
2790;286.2120705822;454.3106084697;279.8930716732;357.1086640207;65147737.597674;5109209519.307651;01/11/2015
2790;357.1290702733;427.1562528011;328.9391908301;396.61660472;43524413.32323997;6123407920.779713;01/12/2015
2790;396.7584822225;425.4125992267;325.310725449;340.7253056371;34906319.0862196;5146696159.939204;01/01/2016
2790;341.2639805077;402.6293943119;339.569029838;402.1471802341;56079368.01256583;6173375870.830639;01/02/2016
2790;402.5342330982;404.2042981858;358.0834275374;366.3229640526;55349940.251861386;5891224210.91093;01/03/2016
2790;366.3180186039;414.7155231637;364.7960291713;391.3731935086;60932231.69552606;6104298597.301574;01/04/2016
