name;open;high;low;close;volume;marketCap;timestamp
2790;1.20588024;1.2366720043;0.4956508321;0.6614524974;552321.8104062723;48424330.220955096;01/09/2015
2790;0.6574509724;1.224330946;0.371194115;0.8328429855;603359.2980571224;61029069.56755305;01/10/2015
2790;0.8366772658;1.0276983468;0.6650155547;0.8263477159;712737.597673996;59594362.50227149;01/11/2015
2790;0.8311089943;0.9518939926;0.7073889311;0.8599318471;628306.2074186223;67049605.17600303;01/12/2015
2790;0.8600884355;2.6173910121;0.8596847462;2.130684698;5386422.254974208;162890957.91267502;01/01/2016
2790;2.1432966729;6.0326798402;1.9514152893;5.8222986766;7066451.076411346;453253783.5443038;01/02/2016
2790;5.8065884299;13.6994703289;5.7985751944;10.0241733503;13752366.075530645;824005121.9332905;01/03/2016
2790;10.0207439864;10.4225153659;6.2585158153;7.6944391991;32146699.481409863;616571166.9508657;01/04/2016
2790;7.6604799015;13.4143337971;7.3612917463;12.6469320562;37043561.76342209;990204220.0174596;01/05/2016
2790;12.6749913212;19.1244884984;8.8337975113;11.2245542856;14194484.369385555;912801443.5860583;01/06/2016
2790;11.2044859573;13.5777818573;8.6506410235;10.6367221393;22918115.485091433;882960932.7808305;01/07/2016
2790;10.6536499652;11.1739168638;7.3020925888;10.461952563;9918226.600985222;873267460.1791313;01/08/2016
2790;10.4630624006;12.9465424263;10.0074710052;11.7626968868;5335162.273623812;1001898321.9114219;01/09/2016
2790;11.7434851377;12.083407874;8.7089241555;10.0266208557;11913101.485368675;836590112.7279196;01/10/2016
2790;9.9907001381;10.0900856247;7.4229312325;8.1106343718;9688730.853391685;677119598.0671043;01/11/2016
2790;8.12393249;8.2094960463;5.5508958453;7.5802339946;8563279.183981866;658286361.9285984;01/12/2016
2790;7.5927992184;11.2549925776;7.5927992184;9.93195071;11080281.556168552;902453107.7618186;01/01/2017
2790;9.9456478048;15.1804523665;9.7784263831;14.9699031867;60628611.11111111;1308171563.2222223;01/02/2017
2790;14.9954583589;51.1315523865;14.7856123534;46.9877923841;143277819.8334595;4275014871.74489;01/03/2017
2790;46.9844107763;72.4566312923;38.4372710823;72.4566312923;215931065.82777727;6767461655.329139;01/04/2017
2790;72.7387454082;212.0492137252;67.0703874987;205.2397956648;1166070609.812013;19481721356.075195;01/05/2017
2790;205.4328691048;369.7566300819;191.3633081081;258.2225594146;900258030.07385;24383603399.323784;01/06/2017
2790;256.8540380231;258.7417937882;116.615511644;172.3630387194;498567565.0118203;16725853037.82506;01/07/2017
2790;173.2002060755;325.2304742239;173.2002060755;321.6947948161;597608745.9807074;30582760884.75207;01/08/2017
2790;322.0246981005;327.9334171411;163.1545956685;255.2192654401;279172831.7097749;24023686847.24555;01/09/2017
2790;255.2886869881;295.9798366692;236.5158590721;262.557079659;312887748.05282766;24716180142.99018;01/10/2017
2790;262.4341201684;441.2867580567;241.3286388038;375.8839963614;1633370526.1350956;36862018057.67745;01/11/2017
2790;374.188111357;747.6635891205;351.7621685274;630.5057250387;2146806145.5706842;61497874405.19415;01/12/2017
2790;629.692567108;1175.0697104173;629.692567108;900.3381841991;3130778256.957174;90692083319.44676;01/01/2018
2790;901.5544419436;928.485749589;463.3906149949;701.3852002045;1581813814.4329896;67436021382.57088;01/02/2018
2790;702.2247940326;717.7935436669;299.3608864751;321.7733956111;1086070549.630845;32047649993.19114;01/03/2018
2790;322.4202563126;579.5723980051;295.2722933819;554.6187691286;2315639990.260531;53910974965.91186;01/04/2018
2790;555.0649993338;698.3249764475;440.9428784869;493.9670083216;1643381074.5922675;47721780616.52454;01/05/2018
2790;495.0568885878;535.6029163707;350.5301520595;389.6088270785;1262674281.8034048;39099411460.68954;01/06/2018
2790;389.6619056702;440.6393609667;362.5846818957;371.2389834859;1558401095.6090045;37523781765.4712;01/07/2018
2790;371.2089322382;372.503849444;224.2821912982;243.9899991379;1207999657.7686517;24619201324.69199;01/08/2018
2790;244.4141736357;259.6292783861;147.001381454;200.6618407446;1522165703.9399948;20534361153.633934;01/09/2018
2790;200.9651012495;201.866540219;162.8188093184;174.4418912947;1242895303.7483842;17505065167.77251;01/10/2018
2790;174.5951917978;193.2665874222;89.7245028612;99.9880822525;1786060098.5681458;10355396920.266926;01/11/2018
2790;100.188056527;138.1061167758;73.2457265129;116.0581297959;2083634850.3148303;12269160002.540716;01/12/2018
2790;116.1015370441;141.1301123463;90.424057499;93.522291474;2461640936.335601;9750450471.898468;01/01/2019
2790;93.5910373336;146.0197379421;90.4145271097;120.2420733615;3961601610.498076;12547600360.961018;01/02/2019
2790;120.3129901207;133.3203485009;110.5862498296;126.0761800659;3735968887.9371805;13123245159.561853;01/03/2019
2790;126.0440481681;164.319382662;125.549583907;144.5909684874;5591665573.218498;15298362407.598558;01/04/2019
2790;144.6222421714;257.8915627943;142.598134432;239.5272925196;10036138233.137487;25414515330.77445;01/05/2019
2790;239.8129917879;317.955661353;202.4801630671;255.7930024018;9204593305.555206;27712911979.828392;01/06/2019
2790;255.4841668537;283.8238335246;172.9116164284;197.5266889314;5284359570.708882;20617878881.838177;01/07/2019
2790;197.4118371404;213.5266716017;151.1889405057;156.6370622436;5266203345.8826885;16755406888.71944;01/08/2019
2790;156.6267261211;201.5762999373;143.7021297266;165.0262694522;6859557537.73145;17636471433.339794;01/09/2019
2790;165.3314128004;176.8381139601;141.6164568502;164.9066571745;8814727328.393143;18291276747.94033;01/10/2019
